Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,41559,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,Highland Park,60035,Illinois,Central,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,41566
14,70,41624,Low,48,90.05,0.03,Regular Air,-107,1.86,2.58,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",Wrap Bag,0.82,41629
15,70,41624,Low,46,7804.53,0.05,Regular Air,2057.166,205.99,5.99,Helen Wasserman,East Meadow,11554,New York,East,Home Office,Technology,Telephones and Communication,3285,Small Box,0.59,41629
17,97,41301,Medium,26,75.57,0.03,Regular Air,28.24,2.89,0.5,Craig Yedwab,Prescott Valley,86314,Arizona,West,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.38,41302
22,132,41434,Medium,27,192.814,0.03,Regular Air,-86.196,7.99,5.03,Emily Phan,Avenel,07001,New Jersey,East,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,41435
23,132,41434,Medium,30,4011.65,0.05,Delivery Truck,-603.8,130.98,54.74,Emily Phan,Lewiston,04240,Maine,East,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69,41437
27,193,41492,Critical,14,174.89,0.06,Regular Air,-37.04,12.44,6.27,Justin Hirsh,Bethpage,11714,New York,East,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57,41494
30,195,41634,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,Brad Thomas,Long Beach,90805,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41,41636
37,229,41635,Critical,43,586.11,0.11,Regular Air,98.44,12.64,4.98,Matt Abelman,Blaine,55434,Minnesota,Central,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48,41637
38,229,41635,Critical,24,599.1,0.02,Regular Air,3.8165,24.92,12.98,Peter Fuller,Atlanta,30318,Georgia,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39,41636
39,230,41572,Critical,47,2029.75,0.06,Regular Air,320.37,43.98,8.99,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58,41574
40,230,41572,Critical,11,1118.396,0.06,Regular Air,-212.333,125.99,8.08,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57,41574
42,258,41635,Critical,21,154.35,0,Regular Air,-91.14,6.48,8.74,Liz Willingham,Auburn,04210,Maine,East,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36,41637
43,258,41635,Critical,7,201.36,0,Delivery Truck,-284.4,20.98,53.03,Liz Willingham,Brunswick,04011,Maine,East,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,41636
